,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
60,temporal,23,GCN,0.5545982718260568,0.001841534544272308,0.5564633463905988,0.002473647017940716
61,temporal,23,GAT,0.6091332446646079,0.01436349257005638,0.6113038612199216,0.015000333760826184
62,temporal,23,TransformerConv,0.6414025287959021,0.011056828542203724,0.6479015109121432,0.012245590382129959
63,temporal,25,GCN,0.5463389268380486,0.00293056419530599,0.5580861779518747,0.0028730828546152287
64,temporal,25,GAT,0.5994214740458287,0.05135845071905741,0.604141018466704,0.04940751128528748
65,temporal,25,TransformerConv,0.6432193892610661,0.006269858194531164,0.6498041410184667,0.006369581768385971
66,combined,5,GCN,0.5079384303376719,0.07397877257887908,0.5135982092893118,0.07239326549436104
67,combined,5,GAT,0.5614402569676165,0.006059185232432338,0.5726916620033575,0.0057106327831265465
68,combined,5,TransformerConv,0.5882167637295046,0.010666421893165606,0.589199776161164,0.009941947486262485
69,combined,7,GCN,0.5827003525095822,0.0018720642481658153,0.5864017907106882,0.0023436364399968468
70,combined,7,GAT,0.5318768213338403,0.021456068905786236,0.5425293788472301,0.02020757704003113
71,combined,7,TransformerConv,0.5819656762680476,0.03335828589472698,0.5848908785674315,0.02867223900792468
72,combined,9,GCN,0.5561788874938568,0.06961856333303282,0.5659764969222161,0.0658941672202612
73,combined,9,GAT,0.5551991743747884,0.011307854029217848,0.5687185226636822,0.010217206975737862
74,combined,9,TransformerConv,0.5898351476522582,0.022553694414995728,0.5946838276440962,0.01832422011959234
75,combined,11,GCN,0.5936182914498135,0.005113445857319169,0.5988808058198097,0.005106150965649867
76,combined,11,GAT,0.5549803193753626,0.025513400694641187,0.5708449916060437,0.01724194826011988
77,combined,11,TransformerConv,0.6046658906846267,0.015706777832518986,0.6078343592613318,0.012552450045935944
78,combined,13,GCN,0.5170153692884348,0.08878429953489145,0.5255176273083381,0.08220086973798173
79,combined,13,GAT,0.5479495375206431,0.008803827484960395,0.572076105204253,0.015858037654081714
80,combined,13,TransformerConv,0.5913312322634177,0.028659806558174128,0.5949076664801343,0.02344397931320132
81,combined,15,GCN,0.5167848741993499,0.0914213294825552,0.5206491326245104,0.0899412673302936
82,combined,15,GAT,0.5570363862100378,0.04664562708823481,0.5733631785114717,0.03218700114261571
83,combined,15,TransformerConv,0.5440853511787433,0.045188502232390675,0.5563514269725797,0.03861163150519774
84,combined,17,GCN,0.5893657064925392,0.0006287689057215261,0.593788472299944,0.0003711947163240444
85,combined,17,GAT,0.5609308897736867,0.04118777116879295,0.5719082260772244,0.03267011970919658
86,combined,17,TransformerConv,0.6102922477955206,0.04127449967074468,0.6122551762730835,0.039264579539347755
87,combined,19,GCN,0.5815799983312666,0.0008656986997615807,0.5875769445998881,0.0007913897942770385
