,Unnamed: 0,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
94,94.0,combined,23,GAT,0.539581280941977,0.0228500740110611,0.5500279798545048,0.0264993891738676
95,95.0,combined,23,TransformerConv,0.5850533468388213,0.0554499203961824,0.5998321208729716,0.0334498663262373
96,96.0,combined,25,GCN,0.5873155154433581,0.0004225759465435,0.5948517067711248,0.000919511848078
97,97.0,combined,25,GAT,0.5494059010167482,0.0325182889278771,0.5584219362059317,0.0305344191950875
98,98.0,combined,25,TransformerConv,0.6030115004121301,0.0457321659200116,0.6058757694459989,0.0472057876156191
99,99.0,multirelational,5,GCN,0.5138645214124594,0.0329537376461039,0.525069949636262,0.0284000898612435
100,100.0,multirelational,5,GAT,0.5527515676882453,0.0025559786570293,0.5539451594851708,0.0027150552816358
101,101.0,multirelational,5,TransformerConv,0.5926362239825915,0.0161905482724609,0.6077224398433128,0.0220235405017673
102,102.0,multirelational,7,GCN,0.5177040559532822,0.0312974810714465,0.523670956911024,0.0205491793039764
103,103.0,multirelational,7,GAT,0.5124463915404014,0.0236523051247566,0.5186905428091775,0.0238097875987338
104,104.0,multirelational,7,TransformerConv,0.5627723566981697,0.0569511132035113,0.5719082260772244,0.0604033153184833
105,105.0,multirelational,9,GCN,0.5495746852167256,0.0012864809033213,0.550811415780638,0.0018098446143028
106,106.0,multirelational,9,GAT,0.5861335544513704,0.0379494507670483,0.5883044208170117,0.0391728355446123
107,107.0,multirelational,9,TransformerConv,0.6021290727050784,0.0599777723016968,0.6120313374370453,0.0635586522084031
108,108.0,multirelational,11,GCN,0.5055134367623086,0.055681733017653,0.5116955791829884,0.0482200627065672
109,109.0,multirelational,11,GAT,0.6166456409013261,0.0278186914925609,0.6207610520425293,0.029561666365818
110,110.0,multirelational,11,TransformerConv,0.5765080020816533,0.0655850006354712,0.5958030218242865,0.0556900610241325
111,111.0,multirelational,13,GCN,0.5535985826704376,0.0167800209169332,0.559541130386122,0.0096071591920725
112,112.0,multirelational,13,GAT,0.5232526148331567,0.0365708978414458,0.534023503077784,0.030758807769674
113,113.0,multirelational,13,TransformerConv,0.5850309927146985,0.0601460226314133,0.5909904868494683,0.0624427109438292
114,114.0,multirelational,15,GCN,0.5444250289154208,0.0104269321748833,0.5461667599328484,0.0100929350649316
115,115.0,multirelational,15,GAT,0.5952140106337367,0.0576225011055092,0.5993284834918857,0.0585713997169868
116,116.0,multirelational,15,TransformerConv,0.6328047912732805,0.0153184912305423,0.642081701175154,0.0161464853112334
117,117.0,multirelational,17,GCN,0.5496769434022291,0.0124896226675156,0.5499720201454953,0.0127074137198036
118,118.0,multirelational,17,GAT,0.5659776453804106,0.0597970851833169,0.5716284275321769,0.0620716534404404
119,119.0,multirelational,17,TransformerConv,0.640170488014316,0.0133832612650243,0.6514829322887521,0.0110520071117847
120,120.0,multirelational,19,GCN,0.5696075318638032,0.0109125526049612,0.5720201454952434,0.0102935447199339
121,121.0,multirelational,19,GAT,0.5494491748203002,0.0664833522174795,0.5579182988248462,0.0644817586034125
122,122.0,multirelational,19,TransformerConv,0.6126841188757938,0.0660362485665166,0.6265808617795188,0.0588241689688714
123,123.0,multirelational,21,GCN,0.5389570767672203,0.0524293984084612,0.5476776720761052,0.0506682950917085
124,124.0,multirelational,21,GAT,0.6250149759917412,0.0038383163774042,0.6344711807498602,0.0054960297676426
125,125.0,multirelational,21,TransformerConv,0.6414862642883972,0.0114450486832458,0.6521544487968663,0.0132074397618329
126,126.0,multirelational,23,GCN,0.5522966344877235,0.0528077234529731,0.5570789031897034,0.0507425287814316
127,127.0,multirelational,23,GAT,0.6228542027681874,0.0122541641635196,0.6291550083939563,0.0160513672823271
128,128.0,multirelational,23,TransformerConv,0.6548296240660099,0.0090238218238377,0.6648013430330162,0.006431715954424
129,129.0,multirelational,25,GCN,0.5320590692127216,0.0885378577261998,0.5756575265808618,0.0216887011251345
130,130.0,multirelational,25,GAT,0.6208453395193683,0.0151871250090944,0.6270844991606044,0.0157219895460396
131,131.0,multirelational,25,TransformerConv,0.6318343374140533,0.0207649355610363,0.6398433128147734,0.0220415910144259
132,,MLP_Spatial,0,MLP,0.589689904254173,0.00705136688895061,0.6203133743704532,0.005940697046263103
133,,MLP_Temporal,0,MLP,0.5008677945635306,0.03193597810818114,0.5201454952434247,0.034547133237503386
134,,MLP_Combined,0,MLP,0.5653682029944119,0.019288664357786055,0.605875769445999,0.017834913231021005
