,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
147,multirelational,7,RGCN,0.5995460994929414,0.007822648108034102,0.6179501540184822,0.012873050660884303
148,multirelational,7,GAT,0.5813362717848859,0.0048232230929889045,0.584906188742649,0.004822842110053271
149,multirelational,7,TransformerConv,0.625920987404573,0.013229210633230706,0.6337160459255111,0.017545395902836266
150,multirelational,9,RGCN,0.5984135241686956,0.007595074086042067,0.609577149257911,0.009812211253896915
151,multirelational,9,GAT,0.5811851453145829,0.059037637245316306,0.5861663399607954,0.05302697869973372
152,multirelational,9,TransformerConv,0.5855888409306412,0.051721002909077794,0.5973396807616914,0.047301057888805835
153,multirelational,11,RGCN,0.6156890982427338,0.021982229579652672,0.6268272192663119,0.024860360739718278
154,multirelational,11,GAT,0.5680603557957442,0.07282182682111182,0.5907868944273311,0.02472303440157612
155,multirelational,11,TransformerConv,0.6422177932693564,0.011588451746066143,0.6539344721366563,0.015553238803977252
156,multirelational,13,RGCN,0.6160777573614284,0.007945451809303998,0.6271632595911509,0.011195181726874889
157,multirelational,13,GAT,0.5625265295896964,0.08993025894523145,0.5807896947633716,0.06596952214482081
158,multirelational,13,TransformerConv,0.6321903626024479,0.021975752063881852,0.6442173060767292,0.023385488739493407
159,multirelational,15,RGCN,0.6292460353724594,0.004628139877789109,0.6462615513861664,0.006373210469607077
160,multirelational,15,GAT,0.576946954262753,0.0370471631383335,0.590422850742089,0.029665645036745448
161,multirelational,15,TransformerConv,0.6390426254321545,0.007177939512428085,0.6511621394567348,0.00564397985674689
162,multirelational,17,RGCN,0.6291076830353197,0.006318329226408493,0.6438252590310838,0.008072014174963716
163,multirelational,17,GAT,0.5801047242372299,0.07787890027583452,0.6040324838980677,0.030078268492531448
164,multirelational,17,TransformerConv,0.6487616019115443,0.00530132235980018,0.6600672080649678,0.003198886015766227
165,multirelational,19,RGCN,0.6288556791012223,0.02012688027845235,0.6373284794175301,0.02274605593249522
166,multirelational,19,GAT,0.601189980987092,0.024877718420022375,0.606216746009521,0.027411499536756926
167,multirelational,19,TransformerConv,0.6414738671298207,0.03117163856707856,0.6500700084010081,0.03335321311086635
168,multirelational,21,RGCN,0.6214154990848788,0.005406009562721951,0.6313917670120415,0.005966818933911402
169,multirelational,21,GAT,0.5491166352304697,0.12297652105338781,0.611509381125735,0.04041536906886641
170,multirelational,21,TransformerConv,0.6338245088334045,0.03705255780678524,0.6466816017922151,0.03909755530090353
171,multirelational,23,RGCN,0.6215074545154289,0.005414584218720359,0.6301596191542985,0.005431569206200184
172,multirelational,23,GAT,0.5567688623766571,0.08894982390286785,0.5809297115653878,0.06232220052013748
173,multirelational,23,TransformerConv,0.657154486339808,0.012081605451061784,0.668216185942313,0.012410765821978854
174,multirelational,25,RGCN,0.6071579999796606,0.01723105876487181,0.6127415289834781,0.014574908426827043
175,multirelational,25,GAT,0.5805677708354684,0.060624131781266334,0.596499579949594,0.04753028270623217
176,multirelational,25,TransformerConv,0.644341704646181,0.044500080902929555,0.6552506300756089,0.04779747071416423
177,multirelational,27,RGCN,0.61412036951066,0.010517488457901502,0.620974516942033,0.006506489041433921
178,multirelational,27,GAT,0.5690586752304329,0.10775500591439584,0.6142257070848502,0.038739731780503855
179,multirelational,27,TransformerConv,0.6641718071744941,0.008703357091806209,0.6754410529263513,0.00821601604968568
180,multirelational,29,RGCN,0.6056610022033353,0.02623096306311988,0.609017082049846,0.02566085909792202
181,multirelational,29,GAT,0.5444483080795052,0.11730772406623756,0.5752450294035284,0.0970901018917534
182,multirelational,29,TransformerConv,0.6465202133191301,0.04232393526658391,0.6521422570708486,0.042306544183017616
183,multirelational,31,RGCN,0.5954829813603133,0.023762388422300034,0.6017642117054046,0.02518573413571111
184,multirelational,31,GAT,0.5935280434530711,0.07033955104650627,0.5992439092691123,0.07199515826800998
185,multirelational,31,TransformerConv,0.6481079141296592,0.02498382499688738,0.6598991879025483,0.025768950303607256
186,multirelational,33,RGCN,0.6009989616543118,0.012550864935900425,0.6087090450854103,0.01651203607779437
187,multirelational,33,GAT,0.595284082666835,0.07542531152831368,0.6117614113693642,0.051579605340234334
188,multirelational,33,TransformerConv,0.6476925374643224,0.0241126729488576,0.6564547745729488,0.02711060843724787
189,multirelational,35,RGCN,0.5978476214305981,0.01536068437687707,0.6016802016241949,0.009585333877704988
190,multirelational,35,GAT,0.5539323151837525,0.09997305486639521,0.6024922990758891,0.030580451695484387
191,multirelational,35,TransformerConv,0.6604132683214111,0.014813912155276174,0.6659479137496499,0.014577060427462863
